Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_rma,tfall_rma,ok_noforce,tfall_noforce
17.086182,1.04089,-60.83252,4.5680575,-3.7354863,-54.113945,114.94646453857422,1.0,6.0,0.0,1.532
-2.384914,0.9373891,-24.695002,7.759382,-7.7397113,-4.986499,29.681499481201172,1.0,6.0,1.0,6.0
18.18362,-16.442574,-56.077106,3.4191835,-10.745097,-96.94679,153.02389526367188,1.0,6.0,0.0,1.304
-0.0041674525,19.277708,-41.161987,9.315443,6.0306535,-93.38898,134.55096435546875,0.0,2.66,0.0,1.926
-2.990855,2.855824,-87.26415,0.8010103,-9.4125595,-97.21841,184.48255920410156,0.0,1.776,1.0,6.0
4.808538,-19.743645,-27.38765,-1.4852877,14.491021,-33.405537,60.79318618774414,1.0,6.0,1.0,6.0
19.80386,10.905968,-71.99176,-8.529245,-9.174065,-77.97673,149.96849060058594,1.0,6.0,0.0,2.244
17.957747,19.130629,-80.93825,-10.833933,6.9343853,-42.357983,123.29623413085938,1.0,6.0,1.0,6.0
-1.5981945,3.5948012,-13.705,7.812084,2.7273657,-20.463387,34.16838836669922,1.0,6.0,1.0,6.0
10.309154,-7.2127347,-43.55872,7.828454,5.138352,-66.81861,110.37733459472656,1.0,6.0,0.0,1.826
-0.10309218,-12.499691,-51.550106,-12.180699,15.816671,-75.43225,126.98236083984375,0.0,4.662,1.0,6.0
1.1724864,6.9010653,-10.117623,18.873497,-13.200462,-27.45914,37.57676315307617,1.0,6.0,1.0,6.0
11.431428,-12.195704,-91.39876,6.846031,-14.007379,-52.41022,143.80897521972656,0.0,1.476,0.0,1.498
-3.413766,3.1075158,-30.384556,1.248645,-15.123911,-85.07899,115.46354675292969,1.0,6.0,1.0,6.0
9.379343,4.089567,-67.201775,13.647014,-16.94244,-91.255486,158.45726013183594,1.0,6.0,0.0,1.254
8.445715,18.496923,-82.45902,-0.53918266,1.369241,-26.28325,108.74227142333984,0.0,3.188,1.0,6.0
17.282387,-17.10939,-32.520134,-0.9622052,-13.370754,-13.958767,46.47890090942383,1.0,6.0,1.0,6.0
-15.402695,-0.0010870537,-63.717804,-9.669024,12.286717,-10.963792,74.68159484863281,0.0,5.32,1.0,6.0
