Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,ok_blind,tfall_blind,ok_clipped,tfall_clipped
-2.8083858,2.9358547,-2.1649942,7.060885,16.600573,-14.188177,27.554443,1,6.0,1,6.0
5.428061,3.9994812,-0.6078178,4.798941,-10.117057,-3.1462593,18.400871,1,6.0,1,6.0
-4.8952413,-10.416302,-7.256225,0.37542334,1.2515758,-0.6063999,15.04624,1,6.0,1,6.0
-15.179534,12.410318,-16.390871,-0.98852086,12.057061,-15.535492,45.245857,1,6.0,1,6.0
-9.9190855,-9.331151,-13.965041,0.12888665,-0.10972528,-0.31382123,19.862482,1,6.0,1,6.0
-2.300093,-7.412805,-2.7258768,0.20978911,0.8511782,-1.3049685,9.798296,1,6.0,1,6.0
18.484398,-4.926728,-12.180036,0.201524,0.09194514,-0.658584,23.372997,1,6.0,1,6.0
-3.4749978,12.512683,-1.4157993,12.82018,8.994871,-7.0969,30.257118,1,6.0,1,6.0
-4.3298016,28.930428,-3.6777234,-12.737459,16.735876,-10.757637,53.106194,1,6.0,1,6.0
-12.683306,2.0969844,-0.40333053,-1.8308822,1.0438442,-0.008739244,14.969376,1,6.0,1,6.0
16.50167,-14.262543,-12.453219,9.369633,1.7563134,-0.93838745,34.694786,0,2.476,1,6.0
0.33964935,-0.26593956,-0.06502002,10.781422,-0.64462477,-3.569986,11.811634,1,6.0,1,6.0
-6.9211383,19.543333,-5.8663087,3.7637446,18.65065,-19.132868,48.52958,1,6.0,1,6.0
-4.480821,-10.540937,-3.4230742,-5.2506247,2.6001337,-18.483656,31.344435,1,6.0,1,6.0
-0.08967565,11.71744,-9.316803,-9.004741,6.555567,-4.8353105,27.112808,1,6.0,1,6.0
-0.67119986,-5.117765,-2.9893978,-15.575726,18.439846,-13.507738,33.62504,1,6.0,1,6.0
25.213535,9.52658,-7.1494336,-16.6521,-11.859325,-2.6454337,48.499283,1,6.0,1,6.0
-4.8383403,-3.5293941,-0.078471646,-19.47633,-4.267606,-3.0304942,26.156746,1,6.0,1,6.0
0.39351815,-8.434727,-14.578827,-0.77724344,0.83640367,-21.332264,38.2104,1,6.0,1,6.0
16.566044,5.260654,-4.3624887,2.7370257,-8.715352,-13.445112,34.175205,1,6.0,1,6.0
-1.8995931,-4.5585375,-25.275362,10.220555,-9.511493,-1.3308465,39.77826,1,6.0,1,6.0
1.1005435,-10.186426,-9.540725,-19.83636,-17.42036,-12.418365,43.174747,1,6.0,1,6.0
-10.473671,11.979287,-19.148016,-15.293045,5.4371195,-5.554101,42.05155,1,6.0,1,6.0
-12.9382515,5.7719264,-6.8049507,8.861214,-2.5585148,-7.9642797,27.902824,1,6.0,1,6.0
-23.93788,14.039144,-7.2800255,2.0019796,1.84606,-0.681884,31.497322,1,6.0,1,6.0
4.203428,-17.592077,-11.619988,0.71027833,4.5059195,-3.5297997,27.266014,1,6.0,1,6.0
22.374454,11.846299,-10.382264,-16.841087,20.28989,-13.22387,56.861847,1,6.0,1,6.0
-28.202942,1.9485656,-0.19023871,4.037621,8.565639,-27.25281,57.121956,1,6.0,1,6.0
-5.445801,-23.353329,-2.0504308,0.08198873,0.01913533,-0.029721025,24.15667,1,6.0,1,6.0
2.2450988,-1.4370432,-2.5240588,2.1257672,0.48515174,-0.8322372,6.004881,1,6.0,1,6.0
