Fx_L,Fy_L,Fz_L,Fx_R,Fy_R,Fz_R,load_mag,cond,rmse,max,ss,rmse_L,rmse_R,base_rmse,base_tilt_max,fell
1.7245878,1.0011625,-0.3388701,3.6048422,0.31498438,-2.5575597,6.453876,no-FAME,0.06613312627340288,0.107944620992999,0.06640026986968521,0.06344005347194198,0.06882619907486379,0.020301547490148435,4.011020022922844,0
1.7245878,1.0011625,-0.3388701,3.6048422,0.31498438,-2.5575597,6.453876,FAME,0.06590070680462033,0.10894358072951335,0.06593544770753532,0.0770060755180584,0.05479533809118226,0.023345206276422944,3.8780469731980047,0
-2.956554,13.731773,-18.461893,-1.111516,-9.460539,-5.453215,34.174038,no-FAME,0.06940983572392209,0.11999757017417609,0.06840132346945782,0.0822382582905523,0.0565814131572919,0.011242508162374008,3.920110373773796,0
-2.956554,13.731773,-18.461893,-1.111516,-9.460539,-5.453215,34.174038,FAME,0.07663554640209046,0.12161713532981246,0.07628197372352967,0.07961963713075262,0.07365145567342829,0.009056354876841794,3.683227813562966,0
19.648695,14.342569,-3.8976038,-15.1296835,-14.3134365,-15.177829,50.40787,no-FAME,0.04946270231107294,0.0960909513070196,0.045083221229175324,0.04767448597036819,0.0512509186517777,0.01359177406727209,3.7384733453608354,0
19.648695,14.342569,-3.8976038,-15.1296835,-14.3134365,-15.177829,50.40787,FAME,0.07450661709699852,0.11239576683038806,0.06913870090155567,0.08671899680142205,0.062294237392574975,0.03114329579073922,2.733350024488361,0
-10.500368,-0.03870671,-5.70481,-12.296501,0.56515676,-6.7703185,25.998573,no-FAME,0.08613021735066989,0.14381519335447646,0.08795441553199805,0.12197873758253981,0.05028169711879996,0.0430049541871093,7.613410317025256,0
-10.500368,-0.03870671,-5.70481,-12.296501,0.56515676,-6.7703185,25.998573,FAME,0.0934528061238703,0.13255550193186363,0.09222219281843377,0.09256310737619819,0.09434250487154243,0.02604556011610262,4.639893697239222,0
-8.035622,2.4644103,-2.681097,-0.7018746,9.487318,-3.408967,18.927877,no-FAME,0.08113805278809737,0.12393270577182462,0.08300554720299323,0.09892183176018438,0.06335427381601036,0.014993030024509881,4.465095158973306,0
-8.035622,2.4644103,-2.681097,-0.7018746,9.487318,-3.408967,18.927877,FAME,0.07872985091635443,0.12198828045918989,0.07972207814083435,0.07598665468981113,0.08147304714289771,0.0375186059756103,4.7521678372536,0
3.7954674,-6.4569044,-3.6082132,-3.5401478,8.908412,-3.5682113,18.542244,no-FAME,0.06412521964747847,0.10617924595385306,0.06399930876358459,0.06908268889108742,0.05916775040386954,0.015735224541336974,4.115957001385839,0
