load,cond,rmse,max,ss,base_rmse,base_tilt_max,max_payload_N,fell
1.630875,FAME,0.26664445655180063,0.4825515641064751,0.26465985573417244,0.03139909877558054,4.343190834685909,124.75612237133547,0
2.8052173,no-FAME,0.26640514065093096,0.46852752890578675,0.2573655219461027,0.020810074285373178,4.029656905305236,204.83069441809732,0
2.8052173,FAME,0.2633839692429521,0.4827493226808204,0.2638716194881977,0.034159961847776595,4.37904886687227,200.98773716513276,0
2.4475605,no-FAME,0.26605272359697413,0.466193529003345,0.2572719174171796,0.019633996456180157,3.926811575397993,207.84609690826528,0
2.4475605,FAME,0.2639700017516601,0.48844122145323726,0.26564043982573443,0.03011494692558966,5.608168309245583,198.51789312865145,0
0.008215501,no-FAME,0.26362746954102323,0.45922412367366583,0.25344125370706444,0.028003752131536257,4.513414056185379,0.6445484113551984,0
0.008215501,FAME,0.2633197396409228,0.45826201718509574,0.2530666532460207,0.028438128958544657,4.617101295908034,0.6460461597973378,0
2.572213,no-FAME,0.266369897670511,0.466987572923433,0.2577412954634667,0.02068849522194448,3.779701645743432,202.43032400257852,0
2.572213,FAME,0.2629124046431316,0.48072291579981047,0.26164760941095166,0.03299658800359572,4.0374044626198975,203.12377418157115,0
0.10075673,no-FAME,0.26313249993115007,0.4578852444729006,0.25266045409774807,0.02832521258609604,4.37497920415203,7.093175696748268,0
0.10075673,FAME,0.2632143304093031,0.4592424778750838,0.2529376565944214,0.02907025872319352,4.708736813674674,8.285023794538258,0
2.1889663,no-FAME,0.26569662066020666,0.46428193021408043,0.2568579302194496,0.019315498487864614,3.813124495750346,207.3458128586318,0
2.1889663,FAME,0.2646988910022256,0.48521560234151856,0.2519821885290219,0.03166353793499628,3.908094946058033,195.05217327951252,0
0.52696687,no-FAME,0.2634977808043792,0.4580943029000683,0.2529875265280781,0.025176476317401573,3.954883934914528,31.72991444630348,0
0.52696687,FAME,0.26402713777531395,0.46578667693908904,0.25511545386371554,0.030338577569904136,5.543440902519094,43.36772184715758,0
2.5895367,no-FAME,0.2663900395750639,0.4670703635337676,0.25773434375537474,0.020689565547637626,3.7790564380021907,201.35381875235572,0
2.5895367,FAME,0.2637506912444043,0.48683367402573546,0.2663824993766605,0.033429721425126194,4.319934884265484,207.84609690826528,0
1.6243837,no-FAME,0.26465074853054094,0.46145065571658683,0.2552073960884133,0.020288271670864163,3.829065734841814,106.24556422324635,0
1.6243837,FAME,0.2661779275011993,0.48382107471239844,0.26385776092135377,0.031658107312232536,4.194196696761342,124.88204551724938,0
0.89913565,no-FAME,0.2638278680209459,0.4590165321880237,0.25368471969073897,0.023257105591155423,3.947176078475808,59.09315709153299,0
0.89913565,FAME,0.2647955014906361,0.4698522770271692,0.2550993010779428,0.030718842635133723,5.620797637839876,74.97272114578384,0
1.2680616,no-FAME,0.2637700865459709,0.458855450549194,0.25368601363622606,0.021670060520517554,3.8847584838968703,92.08250884199555,0
1.2680616,FAME,0.2653610246558964,0.47876896106277556,0.2596658733768386,0.031877879935941926,5.331043795017843,92.78704793957014,0
0.084959015,no-FAME,0.26311486441259735,0.45755542148966005,0.252727387563712,0.028293444483361806,4.419578528360083,6.214657098642941,0
0.084959015,FAME,0.2635783292790732,0.4596275617272383,0.25363170721543904,0.028648485972140505,4.65261649250582,7.069079197859207,0
0.37284982,no-FAME,0.26331411515885306,0.4585530160028867,0.2527915389499798,0.026511944816445296,4.079982526148398,26.190855053390315,0
0.37284982,FAME,0.26350798283462595,0.4626159459046199,0.2543798087676095,0.02936625441011916,5.1270244936814855,31.003578653071507,0
2.0118732,no-FAME,0.26528239238225537,0.4636269850722937,0.2564734102576648,0.019620383599159075,3.821156785551652,179.9453607259303,0
2.0118732,FAME,0.2670512627360323,0.5017677119946421,0.2594157814420443,0.03697507392791091,6.3682784716594565,170.48673740518947,0
1.9415685,no-FAME,0.265129163051668,0.46294709677304124,0.2561384800097639,0.019596125470198344,3.8169839559441376,159.4860666500683,0
1.9415685,FAME,0.2671773192796708,0.49182460008626405,0.26390473297975253,0.03366316543785121,3.740165050943202,132.81849558451407,0
1.8461553,no-FAME,0.26497051958942247,0.4624412407005742,0.2558215077090761,0.019818682947293758,3.821630490659577,125.57293281531261,0
1.8461553,FAME,0.26725558144563494,0.4902993106909737,0.26410215386873825,0.031366292720512404,3.8448884566223245,132.33562300018116,0
1.1510327,no-FAME,0.26380299067184043,0.45941264029142187,0.25382829114407285,0.022229248036722132,3.9029462823569188,69.06395386949083,0
1.1510327,FAME,0.265095214191678,0.47504370820014646,0.25786494857317616,0.03184243573345694,5.411150309408919,95.61063824847284,0
2.9916298,no-FAME,0.26672248506038515,0.4702698475336285,0.25748817906580845,0.02194067680040519,4.465933805867465,207.84609690826528,0
2.9916298,FAME,0.2623379873087605,0.48140697831327683,0.26360683814008257,0.03528780678389801,4.7847112264937435,207.84609690826528,0
